productId,brand,productName,seoName,companyName,category,subcategory,price,price_multipack,multipack_quantity,currency,pack_size,description,ingredients,retailers_available,packaging_attributes.packaging_type,market_position.market_maturity,market_position.price_tier,market_position.seasonality,target_user_1_segment,target_user_1_motivation,target_user_2_segment,target_user_2_motivation,target_user_3_segment,target_user_3_motivation,usage_1_scenario,usage_1_frequency,usage_2_scenario,usage_2_frequency,usage_3_scenario,usage_3_frequency,usage_4_scenario,usage_4_frequency,companion_products_count,companion_1_type,companion_1_relationship,companion_2_type,companion_2_relationship,companion_3_type,companion_3_relationship,companion_4_type,companion_4_relationship,companion_5_type,companion_5_relationship,labels
cmkgr8yh2003e3b7ech94uvrc,Double Dutch,Cucumber & Watermelon,cucumber-watermelon,Double Dutch,Soft Drinks,Tonic Water & Mixers,0.72,2.9,4,GBP,200ml,"A premium, ready-to-drink mixer combining refreshing cucumber and sweet watermelon natural flavours in a lightly carbonated base. Low-calorie and crafted to complement gin, vodka and other spirits or to be enjoyed on its own as a flavorful soft drink. Ideal for at-home cocktails, entertaining, and on-the-go refreshment.","Carbonated Water, Sugar, Natural Flavourings, Acid (Citric Acid), Antioxidant (Ascorbic Acid)",Ocado,bottle,growing,premium,summer,Cocktail enthusiasts,"Want high-quality, distinctive mixers that elevate drinks without needing fresh ingredients or complex recipes",Young professionals,"Seek convenient, stylish beverage options that signal taste and pair well with popular spirits",Health-conscious social drinkers,"Prefer low-calorie, flavorful mixers to reduce alcohol intake or overall calories while maintaining a social drinking experience",Premium G&T serve at home,weekly,Cocktail party mixer,occasional,Refreshing non-alcoholic drink,seasonal,Home bartending experimentation,monthly,5,Gin,complementary,Vodka,complementary,"Ice & garnish (cucumber slices, mint)",enhancer,Tonic or soda water,substitute,Cocktail bitters & syrups,accessory,Soft Drinks(0.9); Vegan(0.9)
cmkcuh7g700023b7er0lmxfgf,Double Dutch,Refreshing Lemonade,refreshing-lemonade,Double Dutch,Soft Drinks,Lemonade & Citrus Drinks,0.72,2.9,4,GBP,200ml,"A crisp, premium sparkling lemonade crafted as a mixer or standalone refreshment. Made with carbonated water, sugar and natural flavours with a clean, citrus-forward profile; works well with spirits or served chilled on its own. Packaged in a 200ml glass bottle ideal for single-serve use.","Carbonated Water, Sugar, Natural Lemon Flavouring, Acid (Citric Acid), Antioxidant (Ascorbic Acid)",Ocado,bottle,mature,premium,year-round,Home mixologists,"To elevate cocktails with a refined, citrus-forward mixer that complements spirits without artificial ingredients",Health-conscious refreshment seekers,"Looking for a flavorful, lower-calorie alternative to traditional sodas without artificial colours or preservatives",Hospitality & event buyers,"Need consistent, premium-tasting single-serve mixers that pair well with spirits and present well to customers",Premium cocktail mixer for home entertaining,weekly,"Cold, refreshing beverage on the go",daily,Summer picnic or barbecue accompaniment,occasional,,,4,Gin,complementary,Vodka,complementary,Sparkling water / Soda water,substitute,Cocktail glassware,accessory,,,Soft Drinks(0.9); Vegan(0.9)
cmkgr4fly00023b7ermx40s2w,Double Dutch,Ginger Beer,ginger-beer,Double Dutch,Soft Drinks,Ginger Beer & Ginger Ale,0.72,2.9,4,GBP,200ml,"A premium, spicy ginger beer crafted for bold mixer use or on‑its‑own refreshment. Made with multiple ginger varieties for layered heat and depth, it pairs well with rum, bourbon and vodka and is bottled in a single‑serve 200ml glass bottle. Ingredients emphasize natural flavourings and sugar from sugar beet for a clean, effervescent finish.","Carbonated Water, Sugar Beet, Natural Flavourings, Acid (Tartaric Acid)",Ocado,bottle,mature,premium,year-round,Cocktail enthusiasts & home bartenders,"Seeks vibrant, reliable mixers that enhance spirits and add layered ginger flavour without artificial ingredients",Premium spirit drinkers,Wants a mixer that complements premium spirits and delivers consistent taste in mixed drinks,Hospitality & on‑trade operators,"Needs a recognizable, premium mixer that elevates cocktail menus and is easy to portion and serve",Premium cocktail mixer for at‑home cocktails,weekly,Refreshing standalone beverage,weekly,Bar and restaurant mixer,occasional,Picnic or outdoor gathering beverage,occasional,4,Light rum,complementary,Vodka,complementary,Lime wedges / fresh citrus,enhancer,Tonic or sparkling water,substitute,,,Herbal and Botanical(0.95)
cmkgr6ts3002a3b7e1loegnox,Double Dutch,Pink Grapefruit,pink-grapefruit,Double Dutch,Soft Drinks,Flavoured Sparkling Water,0.58,3.5,6,GBP,150ml,"A premium, low-calorie carbonated mixer featuring bright pink grapefruit with a touch of Persian lime for balanced citrus complexity. Crafted for use as a standalone refreshing soft drink or as a mixer with spirits, it emphasizes natural flavourings and a clean, crisp finish. Ideal for at-home cocktails, bars, and on-the-go refreshment.","Carbonated Water, Sugar, Natural Flavourings, Acid (Citric Acid), Sodium Bicarbonate",Ocado,bottle,mature,premium,summer,Home bartenders & cocktail enthusiasts,Desire for bar-quality flavours and natural ingredients to create balanced cocktails without extra effort,Health-conscious refreshment seekers,"Looking for a tasty, low-calorie soft drink alternative that still delivers full flavour",Hospitality & on-trade professionals,Need a distinctive mixer to improve cocktail menus and customer experience,Premium cocktail mixer,weekly,Refreshing standalone drink,occasional,Bar & restaurant mixer,weekly,Event & party refreshment,occasional,5,Gin,complementary,Vodka,complementary,Cocktail bitters,enhancer,Tonic / other premium mixers,substitute,Highball glassware,accessory,Soft Drinks(0.9); Vegan(0.9)
cmkgr5zqe001h3b7elke8alwb,Double Dutch,Indian Tonic,indian-tonic,Double Dutch,Soft Drinks,Tonic Water & Mixers,0.58,3.5,6,GBP,150ml,"Double Dutch Indian Tonic Water (150ml) is a premium, single-serve tonic mixer crafted to enhance gin and other spirits. It balances the bitter quinine backbone with bright citrus and pink grapefruit notes, making it suitable for classic G&Ts, cocktails, and alcohol-free mixers.","Carbonated Water, Sugar, Natural Flavourings, Acid (Citric Acid), Antioxidant (Ascorbic Acid), Quinine",Ocado,can,mature,premium,year-round,Gin enthusiasts and home mixologists,To create a well-balanced G&T or cocktail that highlights the spirit without overpowering it,Bars and hospitality professionals,"Reliable, high-quality tonic that improves cocktail flavor and presentation",Occasional drinkers and social hosts,Convenience and premium positioning for guests without buying large bottles,Classic Gin & Tonic at home,weekly,Cocktail menu at a bar,daily,Portable single-serve for picnics or travel,occasional,Alcohol-free refreshment,occasional,4,London Dry Gin,complementary,"Citrus garnishes (lime, lemon, grapefruit)",enhancer,Slimline / diet tonic,substitute,Cocktail bitters or aromatic bitters,accessory,,,Soft Drinks(0.9); Vegan(0.9)
cl3aa7qrq002r3f6kc5psn8i7,Fix8,Sicilian Citrus Kombucha,fix-8-sicilian-citrus-kombucha,Fix8,Soft Drinks,Kombucha & Fermented Drinks,2,2,1,GBP,250ml,"This Fix8 Kombucha is a refreshing, low-calorie sparkling drink infused with Sicilian orange and delicate saffron. It's packed with live cultures and Vitamin C to support immune health, making it a functional and delicious plant-based beverage. Enjoy it chilled for a bold and invigorating experience.","Filtered Water, Kombucha Cultures, Sencha Green Tea, Sugar, Natural Flavouring, Sicilian Orange Extract, Saffron Extract, Vitamin C, Lactic Acid Bacillus",Morrisons; Ocado; PlanetOrganic; Tesco; Welleasy,can,growing,premium,year-round,Health-conscious millennials,"Seeks tasty, science-backed drinks that support gut health and provide a low-calorie alternative to alcohol or sugary sodas",Dry-month/Alcohol-alternative consumers,"Wants a social, flavorful beverage that feels premium and delivers perceived health benefits without alcohol",Gut-health seekers,Looks for products with live cultures and added vitamin C to support digestion and immune health,Alcohol-free social drink,occasional,Daily gut-support beverage,daily,On-the-go refreshment,weekly,,,4,Sparkling Mineral Water,complementary,Non-alcoholic Spirits & Mixers,substitute,Probiotic Yogurt or Dairy-free Probiotic Dessert,enhancer,Healthy Snack Bars,complementary,,,Vegan(1); Soft Drinks(0.9); Sugar-Free(0.8); Vegan(0.95); Vegan(0.95); Sugar-Free(0.85); Citrus(0.95); Vegan(0.95); Soft Drinks(0.9); Vegan(0.95); Soft Drinks(0.9); Vegan(0.95); Soft Drinks(0.9)
cl3aa02d200023f6khvwof8v0,Fix8,Strawberry Basil Kombucha,fix-8-strawberry-basil-kombucha,Fix8,Soft Drinks,Kombucha & Fermented Drinks,2,2,1,GBP,250ml,"This Fix8 Kombucha offers a refreshing and fruity experience, blending the sweet notes of strawberry with aromatic basil. Slow-brewed and enriched with live cultures, it supports gut health and provides 25% of your daily recommended Vitamin C, making it a delicious and beneficial sparkling beverage.","Filtered water; Kombucha cultures; Sencha green tea; sugar; natural flavouring; 2% strawberry juice from concentrate; purple carrot concentrate; natural basil flavouring; Vitamin C; lactic acid bacillus 
      Produced in a manufactuer that is nut; soy and dairy free.",Morrisons; Ocado; PlanetOrganic,can,growing,mid-range,year-round,Health-conscious millennials,"Seeking flavorful, low-alcohol (or non-alcoholic) drinks that provide probiotics and added vitamin benefits",Gut-health seekers,"Purchase for live cultures and perceived digestive benefits, plus convenient ready-to-drink format",Busy professionals & commuters,"Looking for a grab-and-go, flavorful beverage that feels healthier than standard soft drinks",Afternoon refresher at the office,daily,Post-workout probiotic boost,weekly,Picnic or outdoor beverage,occasional,Digestive support after a meal,weekly,4,Healthy snack bars,complementary,Sparkling water,substitute,Reusable glass bottle,accessory,"Fermented foods (e.g., kimchi, pickles)",complementary,,,Vegan(0.95); Soft Drinks(0.8); Vegan(1); Soft Drinks(0.9); Vegan(0.95); Soft Drinks(0.85); Vegan(0.98); Soft Drinks(0.95); Sugar-Free(0.85)
cjyt5sv5601680722kui4vc3o,Fix8,Ginger Turmeric Kombucha,fix-8-ginger-turmeric-kombucha,Fix8,Soft Drinks,Kombucha & Fermented Drinks,2,2,1,GBP,250ml,"This FIX8 Ginger Turmeric Kombucha is a refreshing, plant-based sparkling drink packed with live cultures and Vitamin C to support immune health. It's low in calories and made with natural ingredients, including ginger, turmeric, and black pepper, scientifically designed to reach your gut. Enjoy it cold for a bold and healthy beverage experience.","Filtered Water, Kombucha Cultures, Sencha Green Tea, Sugar, Natural Flavouring, Ginger Root Extract, Turmeric Root Extract, Black Pepper Extract, Vitamin C, Lactic Acid Bacillus",Morrisons; Ocado; PlanetOrganic; Tesco,can,growing,mid-range,year-round,Health-conscious millennials,"Want a convenient, flavorful drink that supports gut health and immunity without animal ingredients",Busy professionals,"Need on-the-go beverages that provide a perceived health benefit (probiotics, vitamin C) and fit a hectic schedule",Plant-based consumers,"Prefer beverages that are explicitly plant-based, contain live cultures, and align with dietary choices",Post-workout recovery drink,weekly,Midday immunity boost,daily,Digestive support with meals,occasional,,,3,Protein or energy bar,complementary,Sparkling water,substitute,Refrigerated cooler pack (multipack),accessory,,,,,Vegan(0.95); Vegan(0.95); Soft Drinks(0.8); Vegan(0.95); Soft Drinks(0.9); Vegan(0.95); Vegan(0.95); Soft Drinks(0.9); Vegan(0.95); Soft Drinks(0.9)
cmltqqeg9000d0oxgr28cf1po,Fix8,Water Kefir Peach & Mango,fix-8-water-kefir-peach-and-mango,Fix8,Soft Drinks,Functional & Wellness Drinks,1.5,6,4,GBP,250ml,"Fix8 Water Kefir Peach + Mango is a naturally fermented, sparkling soft drink bursting with billions of live cultures. This golden fruity fizz combines juicy peach and lush mango flavors, offering a refreshing and healthy beverage option. It's designed to be a delicious and beneficial addition to your daily routine.","Water Kefir (Water, Grape Juice from Concentrate, Water Kefir Cultures, Yeast Extract), Flavour Enhancer: Erythritol, Apple Cider Vinegar, Peach Juice, Mango Purée, Natural Flavourings, Sweetener: Steviol Glycosides from Stevia, Concentrate (Safflower, Lemon, Carrot, Apple)",Waitrose,bottle,growing,premium,summer,Health-conscious millennials,"Seeking a flavorful, probiotic-forward sparkling drink as a healthier alternative to soda",Probiotic & gut-health seekers,"Buy for live cultures and perceived digestive benefits in an enjoyable, convenient format",Non-alcoholic beverage consumers,"Want a grown-up, flavorful fizzy drink without alcohol, with better-for-you positioning",Afternoon refreshment,daily,Post-workout cool-down,weekly,Social gathering alternative to alcohol,occasional,Summer outdoor refreshment,seasonal,4,Light salads and grain bowls,complementary,Kombucha and other fermented drinks,substitute,Reusable insulated bottle,accessory,Healthy snack bars,complementary,,,Vegan(0.95); Soft Drinks(0.9); Tropical(0.95); Sugar-Free(0.95); Vegan(0.95); Soft Drinks(0.9); Sugar-Free(0.95); Vegan(0.95); Soft Drinks(0.9)
cmltqp2e300013itc1qg2hbex,Fix8,Water Kefir Raspberry Lemonade,fix-8-water-kefir-raspberry-lemonade,Fix8,Soft Drinks,Functional & Wellness Drinks,1.5,6.0,4,GBP,250ml,"This sparkling water kefir is a naturally fermented, gut-friendly soft drink made with real fruit. It offers a refreshing blend of tart raspberry and bright lemon, supporting digestive wellness with billions of live cultures. Enjoy this dairy-free, no-added-sugar beverage as a healthy everyday option.","Water Kefir (Water, Grape Juice from Concentrate, Water Kefir Cultures, Yeast Extract), Flavour Enhancer: Erythritol, Apple Cider Vinegar, Lemon Juice, Raspberry Juice from Concentrate, Natural Flavourings, Sweetener: Steviol Glycosides from Stevia, Concentrate (Apple, Cherry, Radish, Sweet Potato), Lemon Essence Oil",Waitrose,bottle,growing,premium,year-round,Health-conscious millennials,"Seeking flavorful, low-sugar alternatives to soda that deliver probiotics and align with clean-label preferences.",Gut-health seekers,"Purchase motivated by live cultures, unpasteurised fermentation and perceived digestive/biome support.",Adults reducing alcohol or sugar,"Want a sophisticated, non-alcoholic sparkling drink with real fruit flavor and low-calorie sweetening.",Mid-morning probiotic refreshment,daily,Post-workout fizzy boost,weekly,Non-alcoholic social option,occasional,,,3,Plain Greek Yogurt,complementary,Fresh Fruit & Nut Snack Pack,complementary,Kombucha,substitute,,,,,Citrus(0.95); Sweet(0.75); Citrus(0.95); Vegan(0.95); Soft Drinks(0.9); Tropical(0.95); Sugar-Free(0.95); Vegan(0.95); Soft Drinks(0.9); Sugar-Free(0.95); Vegan(0.95); Soft Drinks(0.9); Tropical(0.95); Exotic(0.95); Glass Bottles(0.8); Highly Carbonated(0.7)
